id,duration,whisper_text,community_text,stock_text,source
442,4.03,"Side brush entangled, please remove and clean it before reinstalling.",,"Side brush entangled, please remove and clean it before reinstalling.",whisper
444,3.94,Please place the robot in an open area before starting the task.,,Please place the robot in an open area before starting the task.,whisper
445,4.30,"Mop has fallen off, please find it around robot and reinstall it.",,"Mop has fallen off, please find it around robot and reinstall it.",whisper
447,4.20,"Dock is not powered on, please check and put robot back to charge.",,"Dock is not powered on, please check and put robot back to charge.",whisper
451,5.69,"Unable to start tasks in hidden area, please move robot to other areas and restart the task.",,"Unable to start tasks in hidden area, please move robot to other areas and restart the task.",whisper
460,4.58,"Used water tank deodorizer is worn out, please replace it timely.",,"Used water tank deodorizer is worn out, please replace it timely.",whisper
488,2.63,Microsoft Office Word Document MSWordDoc Word.Document.8,,Microsoft Office Word Document MSWordDoc Word.Document.8,whisper
489,4.63,"Currently in clean genius mode, please tell me to end the task and try again.",,"Currently in clean genius mode, please tell me to end the task and try again.",whisper
490,3.55,"OK, enter customize cleaning mode, start mopping.",,"OK, enter customize cleaning mode, start mopping.",whisper
491,3.72,"OK, enter customized cleaning mode, start vacuuming.",,"OK, enter customized cleaning mode, start vacuuming.",whisper
492,3.94,"Okay, start to clean the living room. Make sure the door is open.",,"Okay, start to clean the living room. Make sure the door is open.",whisper
493,3.86,"Okay, start to clean the bedroom. Make sure the door is open.",,"Okay, start to clean the bedroom. Make sure the door is open.",whisper
494,4.08,"Okay, start to clean the master room. Make sure the door is open.",,"Okay, start to clean the master room. Make sure the door is open.",whisper
495,3.98,"Okay, start to clean the guest room. Make sure the door is open.",,"Okay, start to clean the guest room. Make sure the door is open.",whisper
496,3.82,"Okay, start to clean the study. Make sure the door is open.",,"Okay, start to clean the study. Make sure the door is open.",whisper
497,3.82,"Okay, start to clean the kitchen. Make sure the door is open.",,"Okay, start to clean the kitchen. Make sure the door is open.",whisper
498,4.03,"Okay, start to clean the dining room. Make sure the door is open.",,"Okay, start to clean the dining room. Make sure the door is open.",whisper
499,3.94,"Okay, start to clean the bathroom. Make sure the door is open.",,"Okay, start to clean the bathroom. Make sure the door is open.",whisper
500,3.94,"Okay, start to clean the balcony. Make sure the door is open.",,"Okay, start to clean the balcony. Make sure the door is open.",whisper
501,3.89,"Okay, start to clean the hallway. Make sure the door is open.",,"Okay, start to clean the hallway. Make sure the door is open.",whisper
502,4.18,"Okay, start to clean the utility room. Make sure the door is open.",,"Okay, start to clean the utility room. Make sure the door is open.",whisper
503,3.91,"Okay, start to clean the closet. Make sure the door is open.",,"Okay, start to clean the closet. Make sure the door is open.",whisper
504,4.06,"Okay, start to clean the drawing room. Make sure the door is open.",,"Okay, start to clean the drawing room. Make sure the door is open.",whisper
505,3.91,"Okay, start to clean the office. Make sure the door is open.",,"Okay, start to clean the office. Make sure the door is open.",whisper
506,3.74,"Okay, start to clean the gym. Make sure the door is open.",,"Okay, start to clean the gym. Make sure the door is open.",whisper
507,4.39,"Okay, start to clean the recreation area. Make sure the door is open.",,"Okay, start to clean the recreation area. Make sure the door is open.",whisper
508,2.21,"OK, I've turned up the volume.",,"OK, I've turned up the volume.",whisper
509,2.28,"Okay, I've turned down the volume.",,"Okay, I've turned down the volume.",whisper
510,1.99,"Okay, I've ended the work.",,"Okay, I've ended the work.",whisper
511,2.64,"Sorry, I am not performing a task now.",,"Sorry, I am not performing a task now.",whisper
512,3.70,"Map doesn't include pet furniture yet, please add it in the app.",,"Map doesn't include pet furniture yet, please add it in the app.",whisper
513,2.81,"Okay, heading to clean around the pet furniture.",,"Okay, heading to clean around the pet furniture.",whisper
516,1.46,Start finding pets.,,Start finding pets.,whisper
517,3.26,"Find your pets successfully, start returning to charge.",,"Find your pets successfully, start returning to charge.",whisper
518,2.76,"No pets found, start returning to charge.",,"No pets found, start returning to charge.",whisper
526,2.28,Battery level is 100 percent.,,Battery level is 100 percent.,whisper
527,2.30,Battery level is 99 percent.,,Battery level is 99 percent.,whisper
528,2.28,Battery level is 98 percent.,,Battery level is 98 percent.,whisper
529,2.40,Battery level is 97 percent.,,Battery level is 97 percent.,whisper
530,2.35,Battery level is 96 percent.,,Battery level is 96 percent.,whisper
531,2.35,Battery level is 95 percent.,,Battery level is 95 percent.,whisper
532,2.30,Battery level is 94 percent.,,Battery level is 94 percent.,whisper
533,2.33,Battery level is 93 percent.,,Battery level is 93 percent.,whisper
534,2.30,Battery level is 92 percent.,,Battery level is 92 percent.,whisper
535,2.30,Battery level is 91 percent.,,Battery level is 91 percent.,whisper
536,2.11,Battery level is 90 percent.,,Battery level is 90 percent.,whisper
537,2.23,Battery level is 89 percent.,,Battery level is 89 percent.,whisper
538,2.21,Battery level is 88%.,,Battery level is 88%.,whisper
539,2.30,Battery level is 87 percent.,,Battery level is 87 percent.,whisper
540,2.28,Battery level is 86 percent.,,Battery level is 86 percent.,whisper
541,2.28,Battery level is 85 percent.,,Battery level is 85 percent.,whisper
542,2.23,Battery level is 84 percent.,,Battery level is 84 percent.,whisper
543,2.26,Battery level is 83 percent.,,Battery level is 83 percent.,whisper
544,2.23,Battery level is 82 percent.,,Battery level is 82 percent.,whisper
545,2.23,Battery level is 81 percent.,,Battery level is 81 percent.,whisper
546,2.04,Battery level is 80 percent.,,Battery level is 80 percent.,whisper
547,2.38,Battery level is 79 percent.,,Battery level is 79 percent.,whisper
548,2.33,Battery level is 78 percent.,,Battery level is 78 percent.,whisper
549,2.45,Battery level is 77%.,,Battery level is 77%.,whisper
550,2.38,Battery level is 76 percent.,,Battery level is 76 percent.,whisper
551,2.40,Battery level is 75 percent.,,Battery level is 75 percent.,whisper
552,2.35,Battery level is 74 percent.,,Battery level is 74 percent.,whisper
553,2.38,Battery level is 73 percent.,,Battery level is 73 percent.,whisper
554,2.33,Battery level is 72 percent.,,Battery level is 72 percent.,whisper
555,2.35,Battery level is 71 percent.,,Battery level is 71 percent.,whisper
556,2.16,Battery level is 70%.,,Battery level is 70%.,whisper
557,2.33,Battery level is 69 percent.,,Battery level is 69 percent.,whisper
558,2.30,Battery level is 68 percent.,,Battery level is 68 percent.,whisper
559,2.40,Battery level is 67%.,,Battery level is 67%.,whisper
560,2.35,Battery level is 66 percent.,,Battery level is 66 percent.,whisper
561,2.38,Battery level is 65 percent.,,Battery level is 65 percent.,whisper
562,2.33,Battery level is 64 percent.,,Battery level is 64 percent.,whisper
563,2.35,Battery level is 63 percent.,,Battery level is 63 percent.,whisper
564,2.30,Battery level is 62 percent.,,Battery level is 62 percent.,whisper
565,2.33,Battery level is 61 percent.,,Battery level is 61 percent.,whisper
566,2.14,Battery level is 60%.,,Battery level is 60%.,whisper
567,2.30,Battery level is 59%.,,Battery level is 59%.,whisper
568,2.30,Battery level is 58%.,,Battery level is 58%.,whisper
569,2.40,Battery level is 57%.,,Battery level is 57%.,whisper
570,2.33,Battery level is 56 percent.,,Battery level is 56 percent.,whisper
571,2.33,Battery level is 55 percent.,,Battery level is 55 percent.,whisper
572,2.30,Battery level is 54 percent.,,Battery level is 54 percent.,whisper
573,2.30,Battery level is 53 percent.,,Battery level is 53 percent.,whisper
574,2.28,Battery level is 52 percent.,,Battery level is 52 percent.,whisper
575,2.30,Battery level is 51 percent.,,Battery level is 51 percent.,whisper
576,2.11,Battery level is 50 percent.,,Battery level is 50 percent.,whisper
577,2.30,Battery level is 49 percent.,,Battery level is 49 percent.,whisper
578,2.28,Battery level is 48 percent.,,Battery level is 48 percent.,whisper
579,2.38,Battery level is 47 percent.,,Battery level is 47 percent.,whisper
580,2.33,Battery level is 46 percent.,,Battery level is 46 percent.,whisper
581,2.33,Battery level is 45 percent.,,Battery level is 45 percent.,whisper
582,2.30,Battery level is 44 percent.,,Battery level is 44 percent.,whisper
583,2.30,Battery level is 43 percent.,,Battery level is 43 percent.,whisper
584,2.28,Battery level is 42 percent.,,Battery level is 42 percent.,whisper
585,2.28,Battery level is 41 percent.,,Battery level is 41 percent.,whisper
586,2.11,Battery level is 40 percent.,,Battery level is 40 percent.,whisper
587,2.28,Battery level is 39 percent.,,Battery level is 39 percent.,whisper
588,2.23,Battery level is 38 percent.,,Battery level is 38 percent.,whisper
589,2.35,Battery level is 37%.,,Battery level is 37%.,whisper
590,2.30,Battery level is 36 percent.,,Battery level is 36 percent.,whisper
591,2.30,Battery level is 35 percent.,,Battery level is 35 percent.,whisper
592,2.28,Battery level is 34 percent.,,Battery level is 34 percent.,whisper
593,2.28,Battery level is 33 percent.,,Battery level is 33 percent.,whisper
594,2.26,Battery level is 32 percent.,,Battery level is 32 percent.,whisper
595,2.28,Battery level is 31 percent.,,Battery level is 31 percent.,whisper
596,2.09,Battery level is 30 percent.,,Battery level is 30 percent.,whisper
597,2.30,Battery level is 29 percent.,,Battery level is 29 percent.,whisper
598,2.26,Battery level is 28 percent.,,Battery level is 28 percent.,whisper
599,2.38,Battery level is 27 percent.,,Battery level is 27 percent.,whisper
600,2.30,Battery level is 26 percent.,,Battery level is 26 percent.,whisper
601,2.30,Battery level is 25 percent.,,Battery level is 25 percent.,whisper
602,2.28,Battery level is 24 percent.,,Battery level is 24 percent.,whisper
603,2.30,Battery level is 23 percent.,,Battery level is 23 percent.,whisper
604,2.28,Battery level is 22 percent.,,Battery level is 22 percent.,whisper
605,2.28,Battery level is 21 percent.,,Battery level is 21 percent.,whisper
606,2.09,Battery level is 20 percent.,,Battery level is 20 percent.,whisper
607,2.23,Battery level is 19 percent.,,Battery level is 19 percent.,whisper
608,2.16,Battery level is 18 percent.,,Battery level is 18 percent.,whisper
609,2.28,Battery level is 17 percent.,,Battery level is 17 percent.,whisper
610,2.23,Battery level is 16 percent.,,Battery level is 16 percent.,whisper
611,2.21,Battery level is 15 percent.,,Battery level is 15 percent.,whisper
612,2.23,Battery level is 14 percent.,,Battery level is 14 percent.,whisper
613,2.21,Battery level is 13 percent.,,Battery level is 13 percent.,whisper
614,2.06,Battery level is 12 percent.,,Battery level is 12 percent.,whisper
615,2.11,Battery level is 11 percent.,,Battery level is 11 percent.,whisper
616,1.99,Battery level is 10 percent.,,Battery level is 10 percent.,whisper
617,2.04,Battery level is 9 percent.,,Battery level is 9 percent.,whisper
618,1.97,Battery level is 8 percent.,,Battery level is 8 percent.,whisper
619,2.09,Battery level is 7%.,,Battery level is 7%.,whisper
620,2.02,Battery level is 6 percent.,,Battery level is 6 percent.,whisper
621,2.06,Battery level is 5%.,,Battery level is 5%.,whisper
622,2.02,Battery level is 4%.,,Battery level is 4%.,whisper
623,2.02,Battery level is 3%.,,Battery level is 3%.,whisper
624,1.97,Battery level is 2%.,,Battery level is 2%.,whisper
625,2.02,Battery level is 1%.,,Battery level is 1%.,whisper
626,2.14,Battery level is zero percent.,,Battery level is zero percent.,whisper
636,4.46,"The mop is dirty, please move robot to the dock for automatic mop washing.",,"The mop is dirty, please move robot to the dock for automatic mop washing.",whisper
638,1.61,Resuming auto empty.,,Resuming auto empty.,whisper
