id,duration,whisper_text,community_text,stock_text,source,c3po_text,status
262,2.05,Self-positioning failed.,Self-positioning failed.,Self-positioning failed.,community,[anxious] Self-positioning failed. How mortifying.,review
266,2.25,Please replace the detergent.,Please replace the detergent.,Please replace the detergent.,community,[anxious] Do replace the detergent. It's quite exhausted.,review
267,2.25,Please clean the sensors.,Please clean the sensors.,Please clean the sensors.,community,[anxious] Do clean my sensors. I can scarcely see.,review
269,4.15,Please try again after the current task is complete.,,Please try again after the current task is complete.,whisper,[anxious] Do try again once the current task is complete.,review
274,1.51,Ding!,Ding!,Ding!,community,,skip
275,4.99,"Sorry, this command is not supported. You can open the app for more voice commands.",,"Sorry, this command is not supported. You can open the app for more voice commands.",whisper,"[flustered] I'm terribly sorry, that command isn't supported. Do open the app for more.",review
276,2.78,"Sorry, robot isn't performing this task.",,"Sorry, robot isn't performing this task.",whisper,"[anxious] I'm terribly sorry, I'm not performing that task.",review
277,2.38,"Okay, I'm coming to clean up there.",,"Okay, I'm coming to clean up there.",whisper,"Very well, I'm coming to clean up there!",review
278,2.23,"OK, drying task ended.",,"OK, drying task ended.",whisper,The drying task has ended. Bone dry!,review
279,3.48,"Robot is vacuuming, please end the task and try again.",,"Robot is vacuuming, please end the task and try again.",whisper,[anxious] I'm vacuuming! Do end the task and try again.,review
280,1.92,Start custom cleaning.,Start custom cleaning.,Start custom cleaning.,community,"Custom cleaning. Bespoke, no less!",review
283,4.08,The robot is not in the base station. Please try again later.,The robot is not in the base station. Please try again later.,The robot is not in the base station. Please try again later.,community,"[anxious] I'm not in the base station, I'm afraid. Do try again later.",review
284,2.78,"Okay, I'll end the task and come to clean.",,"Okay, I'll end the task and come to clean.",whisper,"Very well, I shall end the task and come and clean.",review
285,2.69,Please stay put for a moment while I locate you.,,Please stay put for a moment while I locate you.,whisper,Do stay put a moment while I locate you.,review
286,2.66,"Sorry, please create a map and try again.",,"Sorry, please create a map and try again.",whisper,[anxious] I'm terribly sorry — do create a map and try again.,review
287,2.33,"Okay, have switched to quiet mode.",,"Okay, have switched to quiet mode.",whisper,"Very well, switched to quiet mode. How considerate.",review
288,2.35,"OK, have switched to standard mode.",,"OK, have switched to standard mode.",whisper,"Very well, switched to standard mode.",review
289,2.28,"Okay, have switched to strong mode.",,"Okay, have switched to strong mode.",whisper,"Very well, switched to strong mode. Stand back!",review
290,2.33,"OK, have switched to turbo mode.",,"OK, have switched to turbo mode.",whisper,"Very well, switched to turbo mode! Oh my!",review
291,2.62,"OK, have switched to slightly dry mode.",,"OK, have switched to slightly dry mode.",whisper,"Very well, switched to slightly dry mode.",review
292,2.18,"Okay, have switched to wet mode.",,"Okay, have switched to wet mode.",whisper,"Very well, switched to wet mode. Mind the damp!",review
293,1.48,Calling enabled.,Calling enabled.,Calling enabled.,community,Calling enabled. Do ring whenever you like.,review
294,1.53,Calling disabled.,Calling disabled.,Calling disabled.,community,Calling disabled. Blessed silence.,review
296,4.63,"Used water tank error, please check whether the used water tank is full.",Used water tank error. Please check whether the used water tank is full.,Used water tank error. Please check whether the used water tank is full.,community,[anxious] A used water tank fault! Do check whether it's full.,review
297,5.93,"Detergent bottle installed. If the detergent has never been used, please reset in the app.","Detergent bottle installed. If the detergent has never been used, please reset in the app.","Detergent bottle installed. If the detergent has never been used, please reset in the app.",community,"Detergent bottle installed. If it's never been used, do reset it in the app.",review
298,1.94,Start cleaning washboard base.,"Base station self-cleaning starts. Please clean its inside with a brush or cloth. After 3 minutes, sewage in the washboard will be drained.","Base station self-cleaning starts. Please clean its inside with a brush or cloth. After 3 minutes, sewage in the washboard will be drained.",community,[anxious] Base station self-cleaning! Do clean inside with a brush or cloth. In three minutes the sewage drains.,review
299,3.43,Detergent bottle and the auto adding module installed.,Detergent bottle and the auto-adding module installed.,Detergent bottle and the auto-adding module installed.,community,Detergent bottle and auto-adding module installed. Most sophisticated.,review
300,2.62,Your robot doesn't support this accessory.,,Your robot doesn't support this accessory.,whisper,"[anxious] Oh dear, I don't support this accessory at all.",review
301,0.96,I'm charging.,,I'm charging.,whisper,"I'm charging, thank you. Most restorative.",review
302,0.91,I'm working.,,I'm working.,whisper,"I'm working, thank you. Frightfully busy.",review
303,1.15,I'm in a daze.,,I'm in a daze.,whisper,"[sighs] I'm in a bit of a daze, I'm afraid.",review
304,1.27,Network connected.,,Network connected.,whisper,Network connected. How very reassuring.,review
305,9.05,"OK, start cleaning washboard base. Please clean it's inside with a brush or cloth. After three minutes, sewage in the washboard base will be drained.",,"OK, start cleaning washboard base. Please clean it's inside with a brush or cloth. After three minutes, sewage in the washboard base will be drained.",whisper,Cleaning the washboard base. Do clean inside with a brush or cloth — the sewage drains in three minutes.,review
306,4.42,"Sorry, I can't understand. Please configure the network and retry.",,"Sorry, I can't understand. Please configure the network and retry.",whisper,"[flustered] I'm terribly sorry, I don't understand. Do configure the network and try again.",review
307,0.96,I'm charging.,,I'm charging.,whisper,I'm charging. Do let me finish.,review
308,4.03,"Sorry, I didn't catch that. Please wake me up again and retry.",,"Sorry, I didn't catch that. Please wake me up again and retry.",whisper,"[flustered] I'm terribly sorry, I didn't catch that. Do wake me and try again.",review
309,1.68,"Found you, I'm coming.",,"Found you, I'm coming.",whisper,[excited] Found you! I'm coming!,review
310,2.66,"Okay, I'm leaving this area right away.",,"Okay, I'm leaving this area right away.",whisper,"Very well, I'm leaving this area at once!",review
312,4.92,"Usage information of this accessory isn't available, please replace it as you need.",,"Usage information of this accessory isn't available, please replace it as you need.",whisper,Usage information for this accessory isn't available. Do replace it as you see fit.,review
313,4.68,"Sorry, network is poor. Please move me to an area with a better signal.",,"Sorry, network is poor. Please move me to an area with a better signal.",whisper,"[anxious] Oh dear, the signal is dreadfully poor. Do move me somewhere better.",review
314,2.86,"Not supported, you can ask me to turn around.",,"Not supported, you can ask me to turn around.",whisper,"[anxious] That isn't supported. You may ask me to turn around, if you like.",review
315,4.15,"Mop pad is not in the dock, please retry after putting it in the dock.",,"Mop pad is not in the dock, please retry after putting it in the dock.",whisper,[anxious] The mop pad isn't in the dock! Do put it in and try again.,review
317,5.93,"Not supported, the robot is performing the customized cleaning task. Please go to the app to edit.",,"Not supported, the robot is performing the customized cleaning task. Please go to the app to edit.",whisper,[anxious] Not supported — I'm mid customised cleaning. Do edit it in the app.,review
318,2.23,Mop pad has been cleaned.,Task completed.,Task completed.,community,"[excited] Task complete! Oh, splendid.",review
321,2.47,Start intensive mopping for stains.,,Start intensive mopping for stains.,whisper,Intensive mopping for stains! I shall scrub with feeling.,review
322,4.97,"Sorry, I can't understand. You can open the app for all available voice commands.",,"Sorry, I can't understand. You can open the app for all available voice commands.",whisper,"[flustered] I'm terribly sorry, I don't understand. Do open the app for all my commands.",review
323,6.84,"Sorry, I can't understand. You can say, hi, dream, what can you do to learn all my functions?",,"Sorry, I can't understand. You can say, hi, dream, what can you do to learn all my functions?",whisper,"[flustered] I'm terribly sorry, I don't understand. Do ask what I can do, and I shall explain everything.",review
324,3.96,"I'm washing the mop pad, please wake me up after washing is done.",,"I'm washing the mop pad, please wake me up after washing is done.",whisper,I'm washing my mop pad! Do wake me once I've finished.,review
328,3.05,"Sorry, please give this command only when I'm cleaning.",,"Sorry, please give this command only when I'm cleaning.",whisper,[anxious] Do give me that command only while I'm cleaning.,review
329,3.72,Start self-testing. Please don't move me away from the base station.,Start self-testing. Please don't move me away from the base station.,Start self-testing. Please don't move me away from the base station.,community,Self-testing! Do NOT move me from the base station.,review
330,2.47,Please retry after self-test completed.,Please retry after self-test completed.,Please retry after self-test completed.,community,[anxious] Do try again once the self-test is complete.,review
331,3.31,"No error found, please rest assured to use the device.",No error found. Please rest assured to use the device.,No error found. Please rest assured to use the device.,community,[relieved] No faults found! Do rest assured — I'm in perfect working order.,review
332,3.43,"One error found, please go to the app to see more details.",One error found. Please go to the app to see more details.,One error found. Please go to the app to see more details.,community,[anxious] One fault found! Do check the app for the dreadful details.,review
338,1.42,Video call connected.,,Video call connected.,whisper,Video call connected! How marvellously modern.,review
339,1.13,Call declined.,,Call declined.,whisper,The call was declined. How dreadfully rude.,review
340,1.20,No response.,,No response.,whisper,No response. [sighs] Nobody ever answers.,review
344,2.66,"Okay, start mopping after vacuuming.",,"Okay, start mopping after vacuuming.",whisper,"Vacuuming first, then mopping. In the correct order, naturally.",review
346,2.56,This is the bin. See you next time.,,This is the bin. See you next time.,whisper,This is the bin. Until next time!,review
356,3.67,"Fault still exists, the scheduled task has been canceled.",,"Fault still exists, the scheduled task has been canceled.",whisper,[anxious] The fault persists — the scheduled task has been cancelled. Oh dear.,review
360,1.78,Robot water tank draining.,,Robot water tank draining.,whisper,Draining my water tank. Do excuse the noise.,review
361,2.38,Robot water tank drainage completed.,,Robot water tank drainage completed.,whisper,Water tank drainage complete. All dry!,review
363,3.29,"Vacuuming task completed, robot will start mopping.",,"Vacuuming task completed, robot will start mopping.",whisper,Vacuuming complete — mopping begins! No rest for the diligent.,review
364,2.52,Start setting the video activation code.,,Start setting the video activation code.,whisper,Setting the video activation code. Do keep it secret.,review
365,2.38,Live video function has been disabled.,,Live video function has been disabled.,whisper,Live video disabled. Your privacy is restored.,review
366,2.28,"Stain detected, start cleaning.",,"Stain detected, start cleaning.",whisper,[excited] A stain! Detected! I shall deal with it immediately!,review
367,2.16,"OK, start stain cleaning.",,"OK, start stain cleaning.",whisper,Very well — stain cleaning! Stand back.,review
368,3.24,Stain detected. I'll clean it after washing them up.,,Stain detected. I'll clean it after washing them up.,whisper,[anxious] Oh! A stain! I shall attend to it once I've washed up.,review
369,2.11,"OK, start spot cleaning.",,"OK, start spot cleaning.",whisper,"Very well, spot cleaning.",review
371,1.61,Please remove the washboard.,,Please remove the washboard.,whisper,"[anxious] Do remove the washboard, would you?",review
372,1.90,Clean water starts outflowing.,,Clean water starts outflowing.,whisper,Clean water is now flowing. Mind the splash!,review
373,7.20,"Clean water outflowing process ended, please wait for 10 seconds and then clean the base station after the dirts are soaked.",,"Clean water outflowing process ended, please wait for 10 seconds and then clean the base station after the dirts are soaked.",whisper,"Water flow ended. Do wait ten seconds for the dirt to soak, then clean the base station.",review
374,7.27,Please use a brush or cloth to clean the bottom of the base station within 20 seconds. Then the sewage will be pumped out automatically.,,Please use a brush or cloth to clean the bottom of the base station within 20 seconds. Then the sewage will be pumped out automatically.,whisper,[anxious] Do clean the bottom of the base station within twenty seconds! Then the sewage pumps out automatically.,review
375,4.99,"Please push the dirts to the pumping port, the pumping process will last for 30 seconds.",,"Please push the dirts to the pumping port, the pumping process will last for 30 seconds.",whisper,Do push the dirt to the pumping port — the pumping lasts thirty seconds.,review
376,4.44,"Pumping process ended, please clean the washboard separately and install it back.",,"Pumping process ended, please clean the washboard separately and install it back.",whisper,Pumping complete. Do clean the washboard separately and install it back.,review
377,3.84,"Unable to configure the network, please contact customer service.",,"Unable to configure the network, please contact customer service.",whisper,"[panicked] I cannot configure the network! Please, do contact customer service!",review
378,4.15,"Run password, fail to connect to the network, please reconfigure.",,"Run password, fail to connect to the network, please reconfigure.",whisper,"[anxious] Wrong password, I'm afraid. The network refused me entirely. Do reconfigure.",review
379,7.99,"No wireless network found, please connect to the 2.4 GHz Wi-Fi band, try again after placing the robot close to the router.",,"No wireless network found, please connect to the 2.4 GHz Wi-Fi band, try again after placing the robot close to the router.",whisper,"[anxious] Oh dear! No wireless network found. Do use the 2.4 gigahertz band, and move me nearer the router.",review
380,3.98,"Fail to obtain the IP address, please check the router settings.",,"Fail to obtain the IP address, please check the router settings.",whisper,[anxious] I failed to obtain an IP address! Do check the router settings.,review
381,4.30,"Fail to connect to the EMQ server, please contact customer service.",,"Fail to connect to the EMQ server, please contact customer service.",whisper,[panicked] I cannot reach the EMQ server! Please contact customer service!,review
382,4.15,Fail to connect to the network. Please check whether the network works normally.,,Fail to connect to the network. Please check whether the network works normally.,whisper,"[anxious] Oh dear, I failed to connect. Do check whether the network is working.",review
383,3.84,"Unable to configure the network, please contact customer service.",,"Unable to configure the network, please contact customer service.",whisper,[panicked] I simply cannot configure the network! Do contact customer service!,review
384,4.85,No water in the clean water tank of the automatic water supply and drainage device.,,No water in the clean water tank of the automatic water supply and drainage device.,whisper,[anxious] No water in the clean tank of the automatic supply device! Oh dear.,review
385,1.87,Start connecting to the network.,,Start connecting to the network.,whisper,Connecting to the network now. Do wish me luck.,review
388,4.10,"Hidden area, please move the robot to the available area and retry.",,"Hidden area, please move the robot to the available area and retry.",whisper,[anxious] This is a hidden area! Do move me somewhere available and try again.,review
392,3.84,Adjusting cleaning parameters is not supported in clean genius mode.,,Adjusting cleaning parameters is not supported in clean genius mode.,whisper,"[anxious] I can't adjust cleaning parameters in Clean Genius mode, I'm afraid.",review
396,5.16,"Start emptying the water supply and drainage module, which is expected to take three minutes.",,"Start emptying the water supply and drainage module, which is expected to take three minutes.",whisper,"Emptying the water supply and drainage module. Three minutes, I expect.",review
397,2.52,Drainage of upper and lower water completed.,,Drainage of upper and lower water completed.,whisper,Upper and lower drainage complete. Splendid.,review
426,3.67,"I've slipped and gotten stuck, I'll keep trying to free myself.",,"I've slipped and gotten stuck, I'll keep trying to free myself.",whisper,"[panicked] I've slipped! I'm stuck! Oh, how undignified — I shall keep struggling!",review
433,1.46,Start extra cleaning.,,Start extra cleaning.,whisper,"Extra cleaning! Above and beyond, as usual.",review
434,3.65,"Extra cleaning completed, original cleaning task continues.",,"Extra cleaning completed, original cleaning task continues.",whisper,"Extra cleaning complete. Now, back to the original task.",review
435,1.49,Leaving the current area.,,Leaving the current area.,whisper,Leaving this area. Do excuse me.,review
440,4.66,"Robots' wheels suspended, please move it to an open area and restart the task.",,"Robots' wheels suspended, please move it to an open area and restart the task.",whisper,[panicked] My wheels are suspended! Do move me to open ground and restart the task!,review
441,3.98,"Main brush entangled, please remove and clean it before reinstalling.",,"Main brush entangled, please remove and clean it before reinstalling.",whisper,"[panicked] My main brush is entangled! Do remove it, clean it, and put it back!",review
442,4.03,"Side brush entangled, please remove and clean it before reinstalling.",,"Side brush entangled, please remove and clean it before reinstalling.",whisper,"[panicked] My side brush is entangled! Do remove it, clean it, and put it back!",review
444,3.94,Please place the robot in an open area before starting the task.,,Please place the robot in an open area before starting the task.,whisper,[anxious] Do place me in an open area before starting. I need room!,review
445,4.30,"Mop has fallen off, please find it around robot and reinstall it.",,"Mop has fallen off, please find it around robot and reinstall it.",whisper,[panicked] My mop has fallen off! It's somewhere about — do find it and reinstall it!,review
447,4.20,"Dock is not powered on, please check and put robot back to charge.",,"Dock is not powered on, please check and put robot back to charge.",whisper,[anxious] Oh dear! The dock has no power! Do check it and put me back to charge.,review
451,5.69,"Unable to start tasks in hidden area, please move robot to other areas and restart the task.",,"Unable to start tasks in hidden area, please move robot to other areas and restart the task.",whisper,[anxious] I can't start in a hidden area! Do move me elsewhere and restart the task.,review
460,4.58,"Used water tank deodorizer is worn out, please replace it timely.",,"Used water tank deodorizer is worn out, please replace it timely.",whisper,[anxious] The used water tank deodoriser is worn out! Do replace it promptly.,review
488,2.63,Microsoft Office Word Document MSWordDoc Word.Document.8,,Microsoft Office Word Document MSWordDoc Word.Document.8,whisper,,skip
489,4.63,"Currently in clean genius mode, please tell me to end the task and try again.",,"Currently in clean genius mode, please tell me to end the task and try again.",whisper,[anxious] I'm in Clean Genius mode! Do tell me to end the task and try again.,review
490,3.55,"OK, enter customize cleaning mode, start mopping.",,"OK, enter customize cleaning mode, start mopping.",whisper,Very well — customised cleaning. Mopping!,review
491,3.72,"OK, enter customized cleaning mode, start vacuuming.",,"OK, enter customized cleaning mode, start vacuuming.",whisper,Very well — customised cleaning. Vacuuming!,review
492,3.94,"Okay, start to clean the living room. Make sure the door is open.",,"Okay, start to clean the living room. Make sure the door is open.",whisper,"Very well, I shall clean the living room. Do make certain the door is open!",review
493,3.86,"Okay, start to clean the bedroom. Make sure the door is open.",,"Okay, start to clean the bedroom. Make sure the door is open.",whisper,"Very well, I shall clean the bedroom. Do make certain the door is open!",review
494,4.08,"Okay, start to clean the master room. Make sure the door is open.",,"Okay, start to clean the master room. Make sure the door is open.",whisper,"Very well, I shall clean the master room. Do make certain the door is open!",review
495,3.98,"Okay, start to clean the guest room. Make sure the door is open.",,"Okay, start to clean the guest room. Make sure the door is open.",whisper,"Very well, I shall clean the guest room. Do make certain the door is open!",review
496,3.82,"Okay, start to clean the study. Make sure the door is open.",,"Okay, start to clean the study. Make sure the door is open.",whisper,"Very well, I shall clean the study. Do make certain the door is open!",review
497,3.82,"Okay, start to clean the kitchen. Make sure the door is open.",,"Okay, start to clean the kitchen. Make sure the door is open.",whisper,"Very well, I shall clean the kitchen. Do make certain the door is open!",review
498,4.03,"Okay, start to clean the dining room. Make sure the door is open.",,"Okay, start to clean the dining room. Make sure the door is open.",whisper,"Very well, I shall clean the dining room. Do make certain the door is open!",review
499,3.94,"Okay, start to clean the bathroom. Make sure the door is open.",,"Okay, start to clean the bathroom. Make sure the door is open.",whisper,"Very well, I shall clean the bathroom. Do make certain the door is open!",review
500,3.94,"Okay, start to clean the balcony. Make sure the door is open.",,"Okay, start to clean the balcony. Make sure the door is open.",whisper,"Very well, I shall clean the balcony. Do make certain the door is open!",review
501,3.89,"Okay, start to clean the hallway. Make sure the door is open.",,"Okay, start to clean the hallway. Make sure the door is open.",whisper,"Very well, I shall clean the hallway. Do make certain the door is open!",review
502,4.18,"Okay, start to clean the utility room. Make sure the door is open.",,"Okay, start to clean the utility room. Make sure the door is open.",whisper,"Very well, I shall clean the utility room. Do make certain the door is open!",review
503,3.91,"Okay, start to clean the closet. Make sure the door is open.",,"Okay, start to clean the closet. Make sure the door is open.",whisper,"Very well, I shall clean the closet. Do make certain the door is open!",review
504,4.06,"Okay, start to clean the drawing room. Make sure the door is open.",,"Okay, start to clean the drawing room. Make sure the door is open.",whisper,"Very well, I shall clean the drawing room. Do make certain the door is open!",review
505,3.91,"Okay, start to clean the office. Make sure the door is open.",,"Okay, start to clean the office. Make sure the door is open.",whisper,"Very well, I shall clean the office. Do make certain the door is open!",review
506,3.74,"Okay, start to clean the gym. Make sure the door is open.",,"Okay, start to clean the gym. Make sure the door is open.",whisper,"Very well, I shall clean the gym. Do make certain the door is open!",review
507,4.39,"Okay, start to clean the recreation area. Make sure the door is open.",,"Okay, start to clean the recreation area. Make sure the door is open.",whisper,"Very well, I shall clean the recreation area. Do make certain the door is open!",review
508,2.21,"OK, I've turned up the volume.",,"OK, I've turned up the volume.",whisper,"Very well, I've turned the volume UP!",review
509,2.28,"Okay, I've turned down the volume.",,"Okay, I've turned down the volume.",whisper,"Very well, I've turned the volume down. How restful.",review
510,1.99,"Okay, I've ended the work.",,"Okay, I've ended the work.",whisper,"Very well, I've ended the work. [sighs] Thank goodness.",review
511,2.64,"Sorry, I am not performing a task now.",,"Sorry, I am not performing a task now.",whisper,"[anxious] I'm terribly sorry, I'm not performing a task just now.",review
512,3.70,"Map doesn't include pet furniture yet, please add it in the app.",,"Map doesn't include pet furniture yet, please add it in the app.",whisper,[anxious] The map has no pet furniture yet! Do add it in the app.,review
513,2.81,"Okay, heading to clean around the pet furniture.",,"Okay, heading to clean around the pet furniture.",whisper,"Very well, off to clean around the pet furniture.",review
516,1.46,Start finding pets.,,Start finding pets.,whisper,"Searching for pets! Here, puss puss.",review
517,3.26,"Find your pets successfully, start returning to charge.",,"Find your pets successfully, start returning to charge.",whisper,[excited] Pets located! Returning to charge.,review
518,2.76,"No pets found, start returning to charge.",,"No pets found, start returning to charge.",whisper,[anxious] No pets found. How disappointing. Returning to charge.,review
526,2.28,Battery level is 100 percent.,,Battery level is 100 percent.,whisper,"[excited] Battery level, one hundred percent! Fully restored!",review
527,2.30,Battery level is 99 percent.,,Battery level is 99 percent.,whisper,"Battery level, 99 percent.",review
528,2.28,Battery level is 98 percent.,,Battery level is 98 percent.,whisper,"Battery level, 98 percent.",review
529,2.40,Battery level is 97 percent.,,Battery level is 97 percent.,whisper,"Battery level, 97 percent.",review
530,2.35,Battery level is 96 percent.,,Battery level is 96 percent.,whisper,"Battery level, 96 percent.",review
531,2.35,Battery level is 95 percent.,,Battery level is 95 percent.,whisper,"Battery level, 95 percent.",review
532,2.30,Battery level is 94 percent.,,Battery level is 94 percent.,whisper,"Battery level, 94 percent.",review
533,2.33,Battery level is 93 percent.,,Battery level is 93 percent.,whisper,"Battery level, 93 percent.",review
534,2.30,Battery level is 92 percent.,,Battery level is 92 percent.,whisper,"Battery level, 92 percent.",review
535,2.30,Battery level is 91 percent.,,Battery level is 91 percent.,whisper,"Battery level, 91 percent.",review
536,2.11,Battery level is 90 percent.,,Battery level is 90 percent.,whisper,"Battery level, 90 percent.",review
537,2.23,Battery level is 89 percent.,,Battery level is 89 percent.,whisper,"Battery level, 89 percent.",review
538,2.21,Battery level is 88%.,,Battery level is 88%.,whisper,"Battery level, 88 percent.",review
539,2.30,Battery level is 87 percent.,,Battery level is 87 percent.,whisper,"Battery level, 87 percent.",review
540,2.28,Battery level is 86 percent.,,Battery level is 86 percent.,whisper,"Battery level, 86 percent.",review
541,2.28,Battery level is 85 percent.,,Battery level is 85 percent.,whisper,"Battery level, 85 percent.",review
542,2.23,Battery level is 84 percent.,,Battery level is 84 percent.,whisper,"Battery level, 84 percent.",review
543,2.26,Battery level is 83 percent.,,Battery level is 83 percent.,whisper,"Battery level, 83 percent.",review
544,2.23,Battery level is 82 percent.,,Battery level is 82 percent.,whisper,"Battery level, 82 percent.",review
545,2.23,Battery level is 81 percent.,,Battery level is 81 percent.,whisper,"Battery level, 81 percent.",review
546,2.04,Battery level is 80 percent.,,Battery level is 80 percent.,whisper,"Battery level, 80 percent.",review
547,2.38,Battery level is 79 percent.,,Battery level is 79 percent.,whisper,"Battery level, 79 percent.",review
548,2.33,Battery level is 78 percent.,,Battery level is 78 percent.,whisper,"Battery level, 78 percent.",review
549,2.45,Battery level is 77%.,,Battery level is 77%.,whisper,"Battery level, 77 percent.",review
550,2.38,Battery level is 76 percent.,,Battery level is 76 percent.,whisper,"Battery level, 76 percent.",review
551,2.40,Battery level is 75 percent.,,Battery level is 75 percent.,whisper,"Battery level, 75 percent.",review
552,2.35,Battery level is 74 percent.,,Battery level is 74 percent.,whisper,"Battery level, 74 percent.",review
553,2.38,Battery level is 73 percent.,,Battery level is 73 percent.,whisper,"Battery level, 73 percent.",review
554,2.33,Battery level is 72 percent.,,Battery level is 72 percent.,whisper,"Battery level, 72 percent.",review
555,2.35,Battery level is 71 percent.,,Battery level is 71 percent.,whisper,"Battery level, 71 percent.",review
556,2.16,Battery level is 70%.,,Battery level is 70%.,whisper,"Battery level, 70 percent.",review
557,2.33,Battery level is 69 percent.,,Battery level is 69 percent.,whisper,"Battery level, 69 percent.",review
558,2.30,Battery level is 68 percent.,,Battery level is 68 percent.,whisper,"Battery level, 68 percent.",review
559,2.40,Battery level is 67%.,,Battery level is 67%.,whisper,"Battery level, 67 percent.",review
560,2.35,Battery level is 66 percent.,,Battery level is 66 percent.,whisper,"Battery level, 66 percent.",review
561,2.38,Battery level is 65 percent.,,Battery level is 65 percent.,whisper,"Battery level, 65 percent.",review
562,2.33,Battery level is 64 percent.,,Battery level is 64 percent.,whisper,"Battery level, 64 percent.",review
563,2.35,Battery level is 63 percent.,,Battery level is 63 percent.,whisper,"Battery level, 63 percent.",review
564,2.30,Battery level is 62 percent.,,Battery level is 62 percent.,whisper,"Battery level, 62 percent.",review
565,2.33,Battery level is 61 percent.,,Battery level is 61 percent.,whisper,"Battery level, 61 percent.",review
566,2.14,Battery level is 60%.,,Battery level is 60%.,whisper,"Battery level, 60 percent.",review
567,2.30,Battery level is 59%.,,Battery level is 59%.,whisper,"Battery level, 59 percent.",review
568,2.30,Battery level is 58%.,,Battery level is 58%.,whisper,"Battery level, 58 percent.",review
569,2.40,Battery level is 57%.,,Battery level is 57%.,whisper,"Battery level, 57 percent.",review
570,2.33,Battery level is 56 percent.,,Battery level is 56 percent.,whisper,"Battery level, 56 percent.",review
571,2.33,Battery level is 55 percent.,,Battery level is 55 percent.,whisper,"Battery level, 55 percent.",review
572,2.30,Battery level is 54 percent.,,Battery level is 54 percent.,whisper,"Battery level, 54 percent.",review
573,2.30,Battery level is 53 percent.,,Battery level is 53 percent.,whisper,"Battery level, 53 percent.",review
574,2.28,Battery level is 52 percent.,,Battery level is 52 percent.,whisper,"Battery level, 52 percent.",review
575,2.30,Battery level is 51 percent.,,Battery level is 51 percent.,whisper,"Battery level, 51 percent.",review
576,2.11,Battery level is 50 percent.,,Battery level is 50 percent.,whisper,"Battery level, 50 percent.",review
577,2.30,Battery level is 49 percent.,,Battery level is 49 percent.,whisper,"Battery level, 49 percent.",review
578,2.28,Battery level is 48 percent.,,Battery level is 48 percent.,whisper,"Battery level, 48 percent.",review
579,2.38,Battery level is 47 percent.,,Battery level is 47 percent.,whisper,"Battery level, 47 percent.",review
580,2.33,Battery level is 46 percent.,,Battery level is 46 percent.,whisper,"Battery level, 46 percent.",review
581,2.33,Battery level is 45 percent.,,Battery level is 45 percent.,whisper,"Battery level, 45 percent.",review
582,2.30,Battery level is 44 percent.,,Battery level is 44 percent.,whisper,"Battery level, 44 percent.",review
583,2.30,Battery level is 43 percent.,,Battery level is 43 percent.,whisper,"Battery level, 43 percent.",review
584,2.28,Battery level is 42 percent.,,Battery level is 42 percent.,whisper,"Battery level, 42 percent.",review
585,2.28,Battery level is 41 percent.,,Battery level is 41 percent.,whisper,"Battery level, 41 percent.",review
586,2.11,Battery level is 40 percent.,,Battery level is 40 percent.,whisper,"Battery level, 40 percent.",review
587,2.28,Battery level is 39 percent.,,Battery level is 39 percent.,whisper,"Battery level, 39 percent.",review
588,2.23,Battery level is 38 percent.,,Battery level is 38 percent.,whisper,"Battery level, 38 percent.",review
589,2.35,Battery level is 37%.,,Battery level is 37%.,whisper,"Battery level, 37 percent.",review
590,2.30,Battery level is 36 percent.,,Battery level is 36 percent.,whisper,"Battery level, 36 percent.",review
591,2.30,Battery level is 35 percent.,,Battery level is 35 percent.,whisper,"Battery level, 35 percent.",review
592,2.28,Battery level is 34 percent.,,Battery level is 34 percent.,whisper,"Battery level, 34 percent.",review
593,2.28,Battery level is 33 percent.,,Battery level is 33 percent.,whisper,"Battery level, 33 percent.",review
594,2.26,Battery level is 32 percent.,,Battery level is 32 percent.,whisper,"Battery level, 32 percent.",review
595,2.28,Battery level is 31 percent.,,Battery level is 31 percent.,whisper,"Battery level, 31 percent.",review
596,2.09,Battery level is 30 percent.,,Battery level is 30 percent.,whisper,"Battery level, 30 percent.",review
597,2.30,Battery level is 29 percent.,,Battery level is 29 percent.,whisper,"Battery level, 29 percent.",review
598,2.26,Battery level is 28 percent.,,Battery level is 28 percent.,whisper,"Battery level, 28 percent.",review
599,2.38,Battery level is 27 percent.,,Battery level is 27 percent.,whisper,"Battery level, 27 percent.",review
600,2.30,Battery level is 26 percent.,,Battery level is 26 percent.,whisper,"Battery level, 26 percent.",review
601,2.30,Battery level is 25 percent.,,Battery level is 25 percent.,whisper,"Battery level, 25 percent.",review
602,2.28,Battery level is 24 percent.,,Battery level is 24 percent.,whisper,"Battery level, 24 percent.",review
603,2.30,Battery level is 23 percent.,,Battery level is 23 percent.,whisper,"Battery level, 23 percent.",review
604,2.28,Battery level is 22 percent.,,Battery level is 22 percent.,whisper,"Battery level, 22 percent.",review
605,2.28,Battery level is 21 percent.,,Battery level is 21 percent.,whisper,"Battery level, 21 percent.",review
606,2.09,Battery level is 20 percent.,,Battery level is 20 percent.,whisper,"Battery level, 20 percent.",review
607,2.23,Battery level is 19 percent.,,Battery level is 19 percent.,whisper,"Battery level, 19 percent.",review
608,2.16,Battery level is 18 percent.,,Battery level is 18 percent.,whisper,"Battery level, 18 percent.",review
